Tempo desde último,Teclado ativo,Calculadora ativa,Google ativo
1747239282.3784435,,False,False
1747239282.4451025,,False,False
1747239283.361727,,False,False
1747239283.4450958,,False,False
1747239283.8117554,,False,False
1747239283.8784492,,False,False
1747239288.9842024,True,False,False
1747239289.0310643,True,False,False
1747239291.604042,True,False,False
1747239291.666543,True,False,False
1747239294.008231,True,False,False
1747239294.0551064,True,False,False
1747239296.6936567,True,False,False
1747239296.7405183,True,False,False
1747239299.3415647,True,False,False
1747239299.3884263,True,False,False
1747239301.8613698,True,False,False
1747239301.908259,True,False,False
1747239304.4238877,True,False,False
1747239304.5332649,True,False,False
1747239304.9281633,False,False,False
1747239305.0114572,False,False,False
1747239305.2281854,False,False,False
1747239305.3273118,False,False,False
