"[array([50.]), array([164.29463259]), array([164.29463259]), array([164.29463259]), array([164.29463259]), array([164.29463259]), array([164.29463259])]","[array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854])]"
"[array([123.97694218]), array([50.]), array([50.]), array([50.]), array([123.97694218])]","[array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854])]"
"[array([1215.83691229]), array([1215.83691229]), array([1215.83691229]), array([1197.65691229]), array([1209.77691229])]","[array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854])]"
"[array([1865.83984414]), array([1865.83984414]), array([1865.83984414]), array([1865.83984414]), array([1865.83984414])]","[array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854])]"
"[array([50.]), array([50.]), array([50.]), array([50.]), array([50.])]","[array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854]), array([70.33009854])]"
"[array([74.56834795]), array([123.97694218]), array([50.]), array([603.65300815]), array([664.71796184])]","[array([114.81666194]), array([70.33009854]), array([223.27007311]), array([70.33009854]), array([70.33009854])]"
"[array([1263.60128171]), array([1263.60128171]), array([1263.60128171]), array([1263.60128171]), array([1263.60128171])]","[array([369.42193109]), array([217.46737326]), array([70.33009854]), array([114.81666194]), array([70.33009854])]"
"[array([1865.83984414]), array([1865.83984414]), array([1865.83984414]), array([1865.83984414]), array([1865.83984414])]","[array([369.42193109]), array([369.42193109]), array([369.42193109]), array([369.42193109]), array([330.77484935])]"
"[array([50.]), array([50.]), array([50.]), array([50.]), array([50.])]","[array([369.42193109]), array([369.42193109]), array([369.42193109]), array([369.42193109]), array([369.42193109])]"
"[array([123.97694218]), array([664.71796184]), array([74.56834795]), array([209.58132591])]","[array([369.42193109]), array([369.42193109]), array([369.42193109]), array([703.85649632])]"
"[array([1263.60128171]), array([1263.60128171]), array([1263.60128171]), array([1263.60128171]), array([1263.60128171])]","[array([560.36867274]), array([620.91687805]), array([560.36867274]), array([590.10488737]), array([620.91687805])]"
"[array([1865.83984414]), array([1865.83984414]), array([1865.83984414]), array([1865.83984414]), array([1865.83984414])]","[array([620.91687805]), array([620.91687805]), array([369.42193109]), array([696.981059]), array([713.55674767])]"
"[array([50.]), array([50.]), array([50.]), array([74.56834795]), array([50.])]","[array([713.55674767]), array([731.30148765]), array([883.98368003]), array([883.98368003]), array([731.30148765])]"
"[array([664.71796184]), array([664.71796184]), array([664.71796184]), array([664.71796184])]","[array([1011.37910784]), array([1002.74355053]), array([966.5471665]), array([1002.74355053])]"
"[array([1263.60128171]), array([1263.60128171]), array([1263.60128171]), array([1263.60128171]), array([1263.60128171])]","[array([1011.37910784]), array([1011.37910784]), array([1011.37910784]), array([1011.37910784]), array([1011.37910784])]"
